Location ID,Sample Date,Lead (µg/L),Copper (µg/L),Coliform
EGES-WF-1F,9/9/2016,<0.50,8.9,Absent
EGES-WF-1F,11/23/2016,<0.50,27,--
EGES-WF-1F,11/24/2016,<0.50,38,--
EGES-WF-1F,3/22/2017,0.65,69,Absent
EGES-WF-1F,5/22/2017,2.4,130,Absent
EGES-WF-1F,7/24/2017,0.69,270,Absent
EGES-WF-1F,10/16/2017,<0.50,66,Absent
EGES-WF-1F,1/16/2018,<0.50,170,Absent
EGES-WF-1F,6/7/2018,<0.50,110,--
EGES-WF-1F,6/1/2019,<0.50,110,--
EGES-WF-2B,9/9/2016,<0.50,19,Absent
EGES-WF-2B,11/23/2016,<0.50,33,--
EGES-WF-2B,11/24/2016,<0.50,40,--
EGES-WF-2B,3/22/2017,0.69,67,Absent
EGES-WF-2B,5/22/2017,2.4,140,Absent
EGES-WF-2B,7/24/2017,0.78,250,Absent
EGES-WF-2B,10/16/2017,<0.50,86,Absent
EGES-WF-2B,1/16/2018,<0.50,220,Absent
EGES-WF-2B,6/7/2018,<0.50,110,--
EGES-WF-2B,6/1/2019,<0.50,120,--
EGES-WF-2B,6/11/2021,<0.50,310,--
EGES-WF-3F,9/9/2016,<0.50,9.7,Absent
EGES-WF-3F,11/23/2016,<0.50,21,--
EGES-WF-3F,11/24/2016,<0.50,30,--
EGES-WF-3F,3/22/2017,<0.50,70,Absent
EGES-WF-3F,5/22/2017,<0.50,80,Absent
EGES-WF-3F,7/24/2017,<0.50,140,Absent
EGES-WF-3F,10/16/2017,<0.50,48,Absent
EGES-WF-3F,1/16/2018,<0.50,100,Absent
EGES-WF-3F,6/7/2018,0.64,95,--
EGES-WF-3F,6/1/2019,0.69,120,--
EGES-WF-4B,9/9/2016,<0.50,17,Absent
EGES-WF-4B,11/23/2016,<0.50,28,--
EGES-WF-4B,11/24/2016,<0.50,39,--
EGES-WF-4B,3/22/2017,DNS,DNS,DNS
EGES-WF-4B,5/22/2017,0.56,93,Absent
EGES-WF-4B,7/24/2017,0.67,290,Absent
EGES-WF-4B,10/16/2017,<0.50,65,Absent
EGES-WF-4B,1/16/2018,<0.50,89,Absent
EGES-WF-4B,6/7/2018,0.66,110,--
EGES-WF-4B,6/1/2019,0.7,140,--
EGES-WF-5F,9/9/2016,1.5,15,Absent
EGES-WF-5F,11/23/2016,0.72,27,--
EGES-WF-5F,11/24/2016,<0.50,29,--
EGES-WF-5F,3/22/2017,0.73,57,Absent
EGES-WF-5F,5/22/2017,1.8,65,Absent
EGES-WF-5F,7/24/2017,0.84,190,Absent
EGES-WF-5F,10/16/2017,0.52,140,Absent
EGES-WF-5F,1/16/2018,0.72,120,Absent
EGES-WF-5F,6/7/2018,2.4,87,--
EGES-WF-5F,6/1/2019,5.4,140,--
EGES-WF-6B,9/9/2016,2.6,22,Absent
EGES-WF-6B,11/23/2016,0.97,26,--
EGES-WF-6B,11/24/2016,0.58,33,--
EGES-WF-6B,3/22/2017,0.72,58,Absent
EGES-WF-6B,5/22/2017,2.2,64,Absent
EGES-WF-6B,7/24/2017,1.2,240,Absent
EGES-WF-6B,10/16/2017,0.51,130,Absent
EGES-WF-6B,1/16/2018,0.73,140,Absent
EGES-WF-6B,6/7/2018,1.3,110,--
EGES-WF-6B,6/1/2019,4.9,140,--
EGES-FM-BBP,9/9/2016,430,280,Absent
EGES-FM-BBP,11/23/2016,"1,100",470,--
EGES-FM-BBP,11/24/2016,200,140,--
EGES-FM-BBP,9/9/2016,430,280,Absent
EGES-FM-BBP,11/23/2016,"1,100",470,--
EGES-FM-BBP,11/24/2016,200,140,--
EGES-HS-1,9/3/2016,33,220,
EGES-CO-1,9/2/2020,2.7,33,Absent
EGES-CO-2,9/3/2020,5.6,130,--
EGES-CO-3,9/3/2020,1,13,--
EGES-CO-4,6/11/2021,<0.50,34,--
EGES-PSF-1,9/2/2020,0.53,130,--
EGES-PSF-2,9/3/2020,<0.50,26,--
EGES-PSF-3,9/3/2020,0.58,92,--
EGES-PSF-4,6/11/2021,<0.50,55,--
